0,1,2,3,4,5
83,82,317,0,0,0
87,106,318,0,0,0
118,107,309,0,0,0
103,113,283,0,0,0
113,91,312,0,0,0
104,97,291,0,0,0
111,115,282,0,0,0
85,88,298,0,0,0
117,112,299,0,0,0
88,83,298,0,0,0
83,82,303,0,0,0
81,115,310,0,0,0
92,102,301,0,0,0
101,86,291,0,0,0
99,86,305,0,0,0
100,83,318,0,0,0
106,80,313,0,0,0
90,108,315,0,0,0
110,83,301,0,0,0
110,114,285,0,0,0
113,82,291,0,0,0
113,103,287,0,0,0
92,98,304,0,0,0
110,84,310,0,0,0
92,82,309,0,0,0
112,90,302,0,0,0
89,105,280,0,0,0
92,95,309,0,0,0
104,118,300,0,0,0
88,88,308,0,0,0
81,107,318,0,0,0
89,105,283,0,0,0
90,84,294,0,0,0
112,99,305,0,0,0
104,92,300,0,0,0
95,84,314,0,0,0
90,118,315,0,0,0
106,111,288,0,0,0
114,101,285,0,0,0
89,96,313,0,0,0
82,100,300,0,0,0
83,96,291,0,0,0
106,110,308,0,0,0
94,111,309,0,0,0
114,106,300,0,0,0
106,92,286,0,0,0
87,119,316,0,0,0
119,95,304,0,0,0
119,94,288,0,0,0
98,117,307,0,0,0
90,101,306,0,0,0
107,104,301,0,0,0
94,99,303,0,0,0
85,108,283,0,0,0
81,118,319,0,0,0
96,119,287,0,0,0
109,103,296,0,0,0
101,83,312,0,0,0
101,80,319,0,0,0
94,100,317,0,0,0
87,115,314,0,0,0
92,91,283,0,0,0
86,111,312,0,0,0
105,91,298,0,0,0
114,113,282,0,0,0
110,81,315,0,0,0
85,102,296,0,0,0
97,99,298,0,0,0
108,95,314,0,0,0
85,82,291,0,0,0
100,99,280,0,0,0
115,113,309,0,0,0
108,92,282,0,0,0
104,109,281,0,0,0
91,110,293,0,0,0
87,99,303,0,0,0
85,117,302,0,0,0
97,112,290,0,0,0
86,113,287,0,0,0
92,94,314,0,0,0
105,112,297,0,0,0
90,100,303,0,0,0
91,101,311,0,0,0
89,107,291,0,0,0
115,99,294,0,0,0
115,95,314,0,0,0
